metadata_schema_version,field_path,field_role,source_api,source_field,availability_stage,publication_basis,publication_basis_refs,exception_rule,validation_status,validation_evidence,operational_status,train_inference_flag,join_key,value_type,mutable_after_publish,owner,last_verified_at,notes
prerace-field-metadata-v1,race_plan.chaksun4,source,API72_2,chaksun4,L-1,경주계획표에서 4착 상금 구조를 사전 제공한다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/prompts/data-go-kr-api-application.md""]",대상 rcNo와 일치하는 row만 채택,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",선택,ALLOW,,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,race_plan.chaksun5,source,API72_2,chaksun5,L-1,경주계획표에서 5착 상금 구조를 사전 제공한다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/prompts/data-go-kr-api-application.md""]",대상 rcNo와 일치하는 row만 채택,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",선택,ALLOW,,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,track.weather,source,API189_1,weather,L0 snapshot,날씨는 당일 변동 가능하므로 출전표 확정 시점 snapshot으로만 허용한다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/holdout-entry-finalization-rule.md"", ""docs/kra-race-lifecycle-timing-matrix.md""]",cutoff 이전 최초 정상 snapshot만 허용,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",필수,ALLOW_SNAPSHOT_ONLY,,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,track.track,source,API189_1,track,L0 snapshot,주로 상태는 당일 변동 가능하므로 출전표 확정 시점 snapshot으로만 허용한다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/holdout-entry-finalization-rule.md"", ""docs/kra-race-lifecycle-timing-matrix.md""]",cutoff 이전 최초 정상 snapshot만 허용,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",필수,ALLOW_SNAPSHOT_ONLY,,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,track.water_percent,source,API189_1,waterPercent,L0 snapshot,주로 수분율은 당일 변동 가능하므로 출전표 확정 시점 snapshot으로만 허용한다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/holdout-entry-finalization-rule.md"", ""docs/kra-race-lifecycle-timing-matrix.md""]",cutoff 이전 최초 정상 snapshot만 허용,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",필수,ALLOW_SNAPSHOT_ONLY,,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,track.temperature,source,API189_1,temperature,L0 snapshot,기온은 당일 변동 가능하므로 출전표 확정 시점 snapshot으로만 허용한다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/holdout-entry-finalization-rule.md"", ""docs/kra-race-lifecycle-timing-matrix.md""]",cutoff 이전 최초 정상 snapshot만 허용,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",선택,ALLOW_SNAPSHOT_ONLY,,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,track.humidity,source,API189_1,humidity,L0 snapshot,습도는 당일 변동 가능하므로 출전표 확정 시점 snapshot으로만 허용한다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/holdout-entry-finalization-rule.md"", ""docs/kra-race-lifecycle-timing-matrix.md""]",cutoff 이전 최초 정상 snapshot만 허용,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",선택,ALLOW_SNAPSHOT_ONLY,,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,track.wind_direction,source,API189_1,windDirection,L0 snapshot,풍향은 당일 변동 가능하므로 출전표 확정 시점 snapshot으로만 허용한다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/holdout-entry-finalization-rule.md"", ""docs/kra-race-lifecycle-timing-matrix.md""]",cutoff 이전 최초 정상 snapshot만 허용,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",선택,ALLOW_SNAPSHOT_ONLY,,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,track.wind_speed,source,API189_1,windSpeed,L0 snapshot,풍속은 당일 변동 가능하므로 출전표 확정 시점 snapshot으로만 허용한다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/holdout-entry-finalization-rule.md"", ""docs/kra-race-lifecycle-timing-matrix.md""]",cutoff 이전 최초 정상 snapshot만 허용,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",선택,ALLOW_SNAPSHOT_ONLY,,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,cancelled_horses[],source,API9_1,item[],L0 snapshot,출전취소 정보는 pre-cutoff 최신 snapshot만 운영 사용 가능하다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/holdout-entry-finalization-rule.md"", ""docs/kra-race-lifecycle-timing-matrix.md""]",cutoff 이후 취소 정보로 기존 snapshot을 덮어쓰면 안 된다,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",필수,ALLOW_SNAPSHOT_ONLY,,array,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,horses[].chul_no,source,API214_1,chulNo,L0,출전표 기본 카드에서 출전번호를 직접 제공한다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/prerace-standard-field-catalog.md""]",말 배열 정렬과 예측 출력의 기준 키로 유지,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",필수,ALLOW,,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,horses[].hr_no,source,API214_1,hrNo,L0,출전표 기본 카드에서 말 식별자를 직접 제공한다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/prerace-standard-field-catalog.md""]",문자열 식별자를 그대로 보존,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",필수,ALLOW,,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,horses[].hr_name,source,API214_1,hrName,L0,출전표 기본 카드에서 말 이름을 직접 제공한다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/prerace-standard-field-catalog.md""]",원문 한글명을 그대로 보존,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",필수,ALLOW,,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,horses[].jk_no,source,API214_1,jkNo,L0,출전표 기본 카드에서 기수 식별자를 직접 제공한다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/prerace-standard-field-catalog.md""]",기수 상세/성적 API 조인 키로 재사용,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",필수,ALLOW,,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,horses[].jk_name,source,API214_1,jkName,L0,출전표 기본 카드에서 기수 이름을 직접 제공한다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/prerace-standard-field-catalog.md""]",원문 이름을 그대로 보존,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",필수,ALLOW,,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,horses[].tr_no,source,API214_1,trNo,L0,출전표 기본 카드에서 조교사 식별자를 직접 제공한다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/prerace-standard-field-catalog.md""]",조교사 상세 API 조인 키로 재사용,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",필수,ALLOW,,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,horses[].tr_name,source,API214_1,trName,L0,출전표 기본 카드에서 조교사 이름을 직접 제공한다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/prerace-standard-field-catalog.md""]",원문 이름을 그대로 보존,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",필수,ALLOW,,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,horses[].ow_no,source,API214_1,owNo,L0,출전표 기본 카드에서 마주 식별자를 직접 제공한다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/prerace-standard-field-catalog.md""]",마주 상세 API 조인 키로 재사용,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",필수,ALLOW,,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,horses[].ow_name,source,API214_1,owName,L0,출전표 기본 카드에서 마주 이름을 직접 제공한다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/prerace-standard-field-catalog.md""]",원문 이름을 그대로 보존,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",필수,ALLOW,,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,horses[].age,source,API214_1,age,L0,출전표 기본 카드에서 나이를 직접 제공한다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/prerace-standard-field-catalog.md""]",원문 숫자 값을 그대로 사용,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",필수,ALLOW,,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,horses[].sex,source,API214_1,sex,L0,출전표 기본 카드에서 성별을 직접 제공한다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/prerace-standard-field-catalog.md""]",원문 문자열을 그대로 사용,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",필수,ALLOW,,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,horses[].name,source,API214_1,name,L0,출전표 기본 카드에서 산지/국적 원문을 직접 제공한다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/prerace-standard-field-catalog.md""]",원문 문자열을 그대로 보존,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",필수,ALLOW,,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,horses[].country,derived,INTERNAL,normalize_prerace_horse_entry(name|country),L0,출전표 기본 카드의 산지/국적 원문을 canonical country 필드로 정규화한다,"[""apps/api/utils/prerace_entry_normalizer.py"", ""docs/prerace-standard-field-catalog.md""]",name 또는 country alias가 비어 있으면 null로 저장하고 country_missing 플래그를 남긴다,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",선택,ALLOW,,scalar,불변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,horses[].rank,source,API214_1,rank,L0,출전표 기본 카드의 rank는 결과 순위가 아니라 등급 문자열이다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/prerace-standard-field-catalog.md""]",모델 입력 변환 단계에서는 class_rank로 rename해 결과 필드와 이름 충돌을 피한다,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",필수,ALLOW,,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,horses[].rating,source,API214_1,rating,L0,출전표 기본 카드에서 레이팅을 직접 제공한다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/prerace-standard-field-catalog.md""]",원문 숫자 값을 그대로 사용,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",필수,ALLOW,,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,horses[].wg_budam,source,API214_1,wgBudam,L0,출전표 기본 카드에서 부담중량을 직접 제공한다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/prerace-standard-field-catalog.md""]",원문 숫자 값을 그대로 사용,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",필수,ALLOW,,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,horses[].wg_budam_bigo,source,API214_1,wgBudamBigo,L0,출전표 기본 카드에서 부담중량 비고를 직접 제공한다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/prerace-standard-field-catalog.md""]",원문 문자열을 그대로 사용,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",필수,ALLOW,,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,horses[].wg_hr,source,API214_1,wgHr,L0,출전표 기본 카드에서 마체중 및 증감 원문을 직접 제공한다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/prerace-standard-field-catalog.md""]",원문 문자열을 그대로 보존,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",필수,ALLOW,,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,horses[].weight,derived,INTERNAL,parse_body_weight_from_wg_hr(wgHr)|weight,L0,출전표 기본 카드의 마체중 원문 또는 명시 weight 값을 정규화해 저장한다,"[""apps/api/utils/prerace_entry_normalizer.py"", ""docs/prerace-standard-field-catalog.md""]",허용 범위를 벗어나거나 파싱 실패하면 null로 저장하고 weight 관련 normalization_flags를 남긴다,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",선택,ALLOW,,scalar,불변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,horses[].weight_delta,derived,INTERNAL,parse_weight_delta_from_wg_hr(wgHr),L0,출전표 기본 카드의 마체중 증감 원문을 정수 증감치로 정규화한다,"[""apps/api/utils/prerace_entry_normalizer.py"", ""docs/prerace-standard-field-catalog.md""]",허용 범위를 벗어나거나 파싱 실패하면 null로 저장하고 weight_delta 관련 normalization_flags를 남긴다,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",선택,ALLOW,,scalar,불변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,horses[].ilsu,source,API214_1,ilsu,L0,출전표 기본 카드에서 휴양 일수 정보를 직접 제공한다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/prerace-standard-field-catalog.md""]",원문 숫자 값을 그대로 사용,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",선택,ALLOW,,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,horses[].hr_tool,source,API214_1,hrTool,L0,출전표 기본 카드에서 장구 정보를 직접 제공한다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/prerace-standard-field-catalog.md""]",원문 문자열을 그대로 보존,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",선택,ALLOW,,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,horses[].normalization_flags,derived,INTERNAL,normalize_prerace_horse_entry.flags,L0,정규화 단계에서 파싱 실패·결측·보정 여부를 audit용 플래그 목록으로 기록한다,"[""apps/api/utils/prerace_entry_normalizer.py"", ""docs/prerace-standard-field-catalog.md""]",정규화 단계에서 감지된 플래그를 중복 없이 정렬한 문자열 배열로 저장한다,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",선택,ALLOW,,array,불변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,race_plan.sch_st_time,source,API72_2,schStTime,L0 snapshot,경주계획표 예정 시각은 cutoff 이전 snapshot 고정값만 허용,"[""docs/holdout-entry-finalization-rule.md"", ""docs/kra-race-lifecycle-timing-matrix.md""]",cutoff 이전 최초 정상 snapshot만 허용,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",조건부 허용,ALLOW_SNAPSHOT_ONLY,,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,track,source,API189_1,*,L0 snapshot,주로/날씨는 출전표 확정 전후 변동 가능성이 있어 snapshot 기준을 사용,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/holdout-entry-finalization-rule.md"", ""docs/kra-race-lifecycle-timing-matrix.md""]",track.* 전체는 cutoff 이전 snapshot만 허용,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",조건부 허용,ALLOW_SNAPSHOT_ONLY,,object,가변,shared.prerace_field_metadata_schema,,"track.weather, track.water_percent 등 하위 필드 전체를 포괄한다."
